ticker	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	Inst Trans	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	SMA200	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price	Change
DE	S&P 500	96.78B	2.75B	35.56B	41.19	22.11	3.04	1.00%	69600	Yes	Yes	2.00	34.83	19.66	1.45	2.72	7.35	13.70	16.96	-	-	3.56	2.53	6.30%	8.69	15.40	2.06	-12.50%	24.06%	8.50%	4.20%	-1.70%	11.70%	Nov 25 BMO	12.23%	0.10%	-44.21%	81.20%	0.08%	3.70%	22.20%	6.90%	33.70%	13.70%	7.70%	34.60%	47.85%	314.10M	312.61M	0.77%	1.52	287.35	106.14 - 306.35	-3.44%	178.70%	66.42	0.88	1.59M	1,038,418	1.04%	19.84%	27.00%	74.63%	75.14%	12.56%	0.99	6.57	2.30% 2.33%	302.85	295.82	-2.32%
EFX	S&P 500	21.05B	441.90M	3.91B	24.11	12.96	1.56	0.88%	11200	Yes	Yes	2.30	49.36	27.66	5.19	5.38	7.37	13.71	73.38	1.00	1.00	1.49	1.12	-5.80%	3.60	6.42	1.81	-233.60%	9.50%	-25.50%	7.60%	22.00%	174.90%	Oct 21 AMC	0.88%	0.10%	-19.74%	91.20%	-2.89%	5.30%	16.70%	-5.00%	58.10%	14.20%	11.30%	42.90%	10.52%	121.50M	121.18M	1.63%	2.27	204.22	103.01 - 196.47	-9.34%	72.91%	41.71	0.29	870.67K	184,695	-2.02%	-6.08%	8.20%	7.52%	18.60%	-7.89%	1.33	4.73	2.52% 2.14%	177.63	178.12	0.27%
ROL	S&P 500	18.14B	248.10M	2.13B	1.90	0.20	0.21	0.56%	15000	Yes	Yes	2.50	74.20	62.66	9.05	8.51	19.72	190.11	72.29	0.60	0.70	0.18	0.17	-5.54%	0.51	0.60	0.13	-13.10%	8.20%	8.10%	7.40%	4.90%	80.50%	Oct 28 BMO	-3.77%	51.00%	0.00%	40.80%	-0.40%	13.90%	29.20%	18.90%	51.40%	16.30%	11.70%	50.70%	11.23%	491.63M	220.83M	5.23%	7.02	36.44	20.44 - 43.00	-13.00%	83.04%	41.60	0.73	1.65M	899,932	-6.72%	-2.57%	-4.20%	19.83%	59.82%	-4.10%	0.46	1.27	3.44% 3.15%	37.47	37.41	-0.16%
PG	DJIA S&P500	335.50B	13.51B	72.47B	19.02	-	3.16	2.33%	99000	Yes	Yes	2.20	25.97	22.87	3.06	4.63	7.14	-	46.75	0.70	0.90	0.67	0.51	-1.95%	5.23	5.94	1.50	246.70%	8.47%	11.80%	0.10%	8.50%	20.00%	Jan 20 BMO	-2.53%	0.10%	-47.71%	66.20%	-0.07%	11.50%	29.70%	16.10%	51.50%	23.00%	18.60%	56.50%	3.92%	2.49B	2.46B	0.60%	2.23	151.34	94.34 - 146.92	-7.94%	43.38%	38.78	0.76	6.62M	3,740,622	-2.20%	-0.04%	-5.72%	8.85%	7.81%	-2.40%	0.40	2.02	1.35% 1.40%	135.80	135.26	-0.40%
AAPL	DJIA S&P500	2150.13B	57.41B	274.52B	3.83	5.45	0.82	0.64%	147000	Yes	Yes	2.00	39.46	29.59	3.10	7.83	33.66	23.64	36.27	1.30	1.40	1.73	1.52	-1.63%	3.27	4.36	1.40	10.20%	12.72%	7.30%	3.30%	1.00%	-3.00%	Jan 27 AMC	3.67%	0.07%	-7.10%	60.30%	-0.04%	17.60%	75.20%	31.70%	38.20%	24.10%	20.90%	24.10%	23.93%	17.06B	16.63B	0.57%	0.87	129.84	53.15 - 138.79	-7.44%	141.68%	50.43	0.88	108.91M	71,554,394	-1.54%	5.85%	6.37%	33.55%	65.62%	-2.85%	1.27	3.42	1.88% 2.53%	128.91	128.46	-0.35%
WAB	S&P 500	16.07B	462.20M	7.90B	52.78	2.91	0.48	0.57%	27500	Yes	Yes	2.50	34.62	19.36	4.74	2.03	1.59	28.73	25.04	0.70	1.20	0.42	0.38	7.41%	2.42	4.32	1.01	-36.70%	7.30%	-12.70%	21.90%	-6.80%	41.90%	Oct 29 BMO	11.50%	0.50%	-38.34%	96.50%	3.17%	2.50%	4.70%	3.80%	29.20%	10.20%	5.90%	19.80%	28.05%	189.80M	180.17M	2.29%	2.97	77.60	35.07 - 84.32	-3.02%	133.16%	65.26	0.50	1.39M	513,186	2.15%	14.25%	30.25%	36.19%	6.75%	14.34%	1.67	2.04	2.54% 2.56%	83.70	81.77	-2.31%
APH	S&P 500	40.20B	1.17B	8.32B	16.87	4.85	1.16	0.87%	74000	Yes	Yes	2.20	35.26	31.62	4.52	4.83	7.93	27.61	40.15	1.60	2.30	0.76	0.71	-0.01%	3.80	4.23	1.02	-9.20%	7.80%	11.10%	9.00%	10.60%	22.90%	Jan 27 BMO	1.96%	0.10%	-77.78%	95.70%	0.11%	10.20%	24.90%	15.60%	31.00%	19.00%	14.00%	25.50%	22.76%	298.80M	294.74M	0.80%	1.77	137.25	63.05 - 137.18	-4.07%	108.72%	50.52	0.56	1.32M	555,079	-1.52%	2.72%	17.94%	32.63%	23.12%	2.35%	1.26	2.33	1.67% 1.67%	133.84	131.60	-1.67%
HAL	S&P 500	19.46B	-4363.00M	16.40B	5.90	2.37	0.18	0.83%	40000	Yes	Yes	2.50	-	31.72	-	1.19	3.69	9.20	16.71	1.60	2.30	1.89	1.85	3.62%	-4.97	0.69	0.15	-170.50%	-7.82%	-18.30%	-7.40%	-46.40%	-105.70%	Jan 19 BMO	15.41%	0.40%	-1.61%	77.30%	0.01%	-19.20%	-69.20%	-2.50%	10.70%	-25.40%	-26.60%	-	48.47%	882.00M	881.17M	4.52%	3.16	19.30	4.25 - 24.51	-15.64%	386.59%	56.96	0.80	12.60M	7,466,453	6.93%	14.77%	71.07%	66.23%	-7.68%	15.13%	2.89	0.96	4.94% 4.32%	21.76	20.68	-4.96%
CTLT	S&P 500	18.32B	249.20M	3.28B	18.72	6.33	-	-	13900	Yes	Yes	1.70	73.97	38.53	5.60	5.59	6.16	18.19	-	2.10	2.60	1.00	0.97	7.55%	1.56	2.99	0.55	20.60%	13.20%	-8.30%	11.10%	27.20%	924.80%	Nov 03 BMO	12.64%	0.40%	-89.89%	-	0.55%	3.40%	10.10%	5.70%	32.20%	13.00%	7.60%	0.00%	36.11%	164.09M	163.73M	1.14%	1.59	112.64	31.04 - 120.48	-4.61%	270.26%	74.20	0.49	1.18M	425,878	6.14%	17.68%	24.44%	37.96%	89.41%	10.73%	1.51	2.87	2.73% 2.53%	115.24	114.93	-0.27%
MRK	DJIA S&P500	210.37B	11.57B	47.35B	11.54	2.87	2.60	3.16%	71000	Yes	Yes	2.00	18.07	12.86	2.42	4.44	7.12	28.60	320.69	1.00	1.30	0.98	0.90	2.21%	4.55	6.39	1.38	58.90%	7.48%	-1.10%	2.10%	1.20%	56.80%	Feb 04 BMO	2.48%	0.08%	-23.24%	76.00%	0.02%	13.20%	42.30%	19.20%	73.20%	26.90%	24.30%	53.70%	3.24%	2.53B	2.53B	0.54%	1.52	96.53	65.25 - 92.06	-9.73%	27.36%	56.00	0.68	8.92M	4,493,526	-2.20%	2.30%	2.06%	3.49%	-10.24%	0.45%	0.43	1.60	2.14% 1.85%	82.17	83.10	1.13%
CF	S&P 500	9.60B	285.00M	4.07B	13.21	2.61	1.20	2.65%	3000	Yes	Yes	2.30	34.32	33.19	-	2.36	3.43	17.36	14.29	1.30	1.70	0.00	1.40	13.39%	1.32	1.37	0.12	70.00%	-5.21%	-16.30%	-0.70%	-18.40%	-144.40%	Nov 04 AMC	23.39%	0.10%	0.39%	94.10%	-0.07%	2.40%	10.10%	12.50%	21.30%	15.30%	7.00%	90.70%	42.88%	213.90M	212.81M	1.58%	1.28	39.37	19.73 - 47.00	-3.77%	129.24%	78.03	0.76	2.64M	1,490,060	5.92%	16.69%	51.96%	51.20%	-0.77%	17.02%	1.16	1.48	3.87% 3.61%	45.30	45.23	-0.15%
IRM	S&P 500	8.70B	133.00M	4.17B	3.25	0.53	2.47	8.18%	26750	Yes	Yes	2.60	65.49	21.85	8.19	2.09	9.29	57.22	-	0.60	0.60	9.68	9.26	3.08%	0.46	1.38	0.31	-27.30%	8.00%	-9.70%	6.50%	-2.40%	-64.50%	Nov 05 BMO	6.64%	0.98%	-1.69%	86.40%	0.41%	1.00%	11.70%	7.10%	63.60%	15.50%	3.20%	535.50%	10.10%	288.40M	284.47M	17.60%	15.04	30.13	21.00 - 34.49	-13.08%	42.76%	61.15	0.69	3.33M	1,700,363	5.78%	3.14%	9.74%	10.38%	-1.95%	2.41%	0.86	0.71	2.65% 2.14%	30.19	29.98	-0.70%
MLM	S&P 500	18.70B	668.90M	4.65B	92.40	1.89	2.28	0.75%	8846	Yes	Yes	2.40	28.26	28.82	3.92	4.02	3.28	160.38	37.43	1.90	3.30	0.46	0.46	5.67%	10.72	10.51	2.21	31.20%	7.20%	29.10%	9.90%	-7.00%	19.10%	Oct 29 BMO	9.63%	0.30%	-5.71%	-	-0.13%	6.50%	12.20%	9.20%	25.50%	20.40%	14.40%	20.70%	32.50%	62.30M	61.70M	2.08%	2.32	291.00	135.08 - 319.01	-5.07%	124.20%	61.80	0.62	553.80K	255,571	-1.62%	16.61%	16.55%	35.74%	15.50%	6.64%	0.65	9.01	2.83% 2.77%	302.83	302.85	0.01%
CL	S&P 500	69.77B	2.69B	16.16B	0.76	1.26	1.76	2.15%	34300	Yes	Yes	2.70	26.16	25.22	3.67	4.32	107.82	65.26	40.28	0.60	1.00	11.08	10.68	-2.74%	3.13	3.25	0.76	-3.20%	7.13%	3.10%	-1.90%	5.70%	20.70%	Jan 29 BMO	-3.17%	0.10%	-41.05%	80.70%	-0.04%	17.70%	-	34.80%	60.60%	23.80%	16.70%	55.40%	6.20%	859.00M	855.19M	0.94%	2.24	84.50	58.49 - 86.41	-5.42%	39.73%	36.50	0.95	3.61M	2,558,494	0.17%	-2.67%	2.60%	9.28%	15.73%	-4.17%	0.60	1.16	1.10% 1.35%	81.94	81.73	-0.26%
AMGN	DJIA S&P500	138.05B	7.35B	24.99B	18.73	21.64	7.04	2.91%	23400	Yes	Yes	2.30	19.49	14.21	2.91	5.52	12.90	11.17	21.07	1.90	2.30	3.13	3.12	6.83%	12.40	17.01	3.41	2.00%	6.70%	14.00%	3.10%	12.00%	5.00%	Oct 28 AMC	7.17%	0.19%	-0.32%	78.10%	0.05%	11.70%	72.10%	21.20%	76.70%	36.70%	29.40%	50.10%	4.43%	585.00M	581.07M	1.19%	2.78	255.56	177.05 - 264.97	-7.19%	38.90%	71.68	0.77	2.48M	1,425,504	3.26%	5.32%	1.69%	-5.31%	-0.02%	5.11%	0.75	4.72	2.06% 2.02%	241.66	245.91	1.76%
WYNN	S&P 500	11.84B	-1870.70M	3.06B	-1.21	32.74	-	-	30200	Yes	Yes	2.20	-	-	-	3.86	-	3.33	-	2.20	2.30	-	-	-4.43%	-17.53	-2.81	-2.30	-32.20%	-1.10%	-30.70%	4.00%	-77.50%	-	Nov 05 AMC	2.73%	0.50%	-11.42%	73.30%	-0.10%	-13.10%	-215.30%	5.70%	25.80%	-27.10%	-61.10%	-	25.77%	106.78M	97.70M	11.70%	3.45	104.88	35.84 - 153.41	-30.27%	198.47%	46.63	0.65	3.32M	1,610,956	-0.68%	1.36%	52.02%	28.84%	-27.35%	-3.39%	2.44	4.10	3.20% 3.53%	109.00	106.97	-1.86%
MOS	S&P 500	11.00B	-1105.00M	8.30B	22.51	2.43	0.20	0.69%	12600	Yes	Yes	2.40	-	20.34	-	1.32	1.28	11.91	-	0.70	1.30	0.56	0.53	17.53%	-2.92	1.42	0.16	-328.60%	7.00%	-24.90%	-0.30%	-13.50%	92.40%	Nov 02 AMC	30.80%	9.59%	0.00%	77.50%	0.19%	-5.70%	-12.50%	-6.30%	8.80%	-13.00%	-13.00%	-	72.09%	379.10M	342.73M	2.45%	1.57	25.35	6.50 - 29.33	-2.44%	340.15%	76.47	0.66	5.34M	2,626,500	7.40%	27.43%	49.66%	118.94%	34.29%	25.60%	1.80	1.12	5.12% 4.08%	28.90	28.61	-1.00%
RSG	S&P 500	29.80B	1.02B	10.16B	26.22	-	1.70	1.81%	36000	Yes	Yes	2.00	29.35	25.32	3.55	2.93	3.57	-	38.71	0.80	0.80	1.05	1.03	-2.06%	3.19	3.70	0.81	5.50%	8.27%	16.90%	3.20%	-2.80%	-12.30%	Nov 05 AMC	-3.18%	0.10%	-44.03%	93.60%	0.04%	4.50%	12.40%	9.30%	40.10%	16.70%	10.10%	50.70%	5.43%	319.20M	317.72M	0.75%	1.93	106.23	65.37 - 103.79	-9.85%	43.14%	41.54	0.41	1.24M	377,928	-3.17%	-1.26%	0.27%	10.76%	1.23%	-2.70%	0.66	1.51	1.38% 1.55%	93.70	93.57	-0.14%
DLR	S&P 500	37.39B	534.70M	3.63B	61.87	3.47	4.48	3.36%	1550	Yes	Yes	2.10	54.14	126.02	3.25	10.30	2.16	38.50	-	-	-	0.77	0.77	0.70%	2.47	1.06	0.20	94.60%	16.66%	18.80%	14.70%	27.10%	-158.20%	Oct 29 AMC	-0.61%	0.30%	-15.94%	96.60%	-1.89%	1.70%	3.80%	3.30%	61.60%	15.20%	14.70%	176.90%	-5.92%	280.16M	279.19M	2.05%	3.27	165.36	105.00 - 165.49	-17.96%	29.30%	52.21	0.66	1.75M	854,388	-0.12%	4.18%	-14.65%	-4.99%	10.30%	-4.34%	0.14	2.89	1.98% 2.16%	133.45	135.76	1.73%
ALB	S&P 500	19.40B	381.50M	3.24B	38.77	6.60	1.54	0.84%	6000	Yes	Yes	3.00	50.94	44.48	3.40	5.98	4.70	27.64	-	0.90	1.40	0.86	0.71	14.45%	3.58	4.10	1.06	-18.30%	15.00%	14.40%	8.00%	-15.10%	-36.90%	Nov 04 AMC	29.45%	0.20%	-67.77%	89.70%	-0.21%	3.80%	9.60%	7.60%	33.00%	14.90%	11.80%	41.90%	89.87%	106.39M	106.12M	4.17%	3.24	114.85	48.89 - 187.25	-3.01%	271.47%	73.21	0.79	1.36M	797,891	-0.89%	35.52%	92.80%	110.95%	127.62%	23.62%	1.61	6.76	3.39% 3.65%	182.37	181.61	-0.42%
TGT	S&P 500	97.88B	3.82B	88.62B	26.61	12.13	2.72	1.37%	368000	Yes	Yes	2.10	26.24	23.31	1.95	1.10	7.44	16.32	16.23	0.40	1.00	0.95	0.94	7.39%	7.55	8.50	2.27	16.80%	13.49%	10.40%	1.50%	21.30%	46.30%	Nov 18 BMO	11.98%	0.20%	-21.41%	82.80%	0.19%	8.20%	31.30%	16.00%	29.20%	6.70%	4.30%	34.90%	37.43%	500.60M	499.63M	1.53%	2.00	183.33	90.17 - 199.96	-2.52%	116.18%	71.49	0.75	3.83M	2,139,873	3.62%	15.80%	20.76%	62.37%	69.24%	12.17%	0.99	3.68	2.19% 2.03%	198.01	194.93	-1.56%
MXIM	S&P 500	25.56B	684.10M	2.28B	6.41	6.06	1.92	2.00%	7115	Yes	Yes	2.80	38.01	31.71	2.42	11.22	15.00	15.86	103.11	4.70	5.30	0.58	0.58	6.71%	2.53	3.03	0.68	-21.00%	15.71%	27.50%	-1.00%	16.20%	23.10%	Jan 26 AMC	12.30%	0.20%	-18.05%	89.00%	-0.29%	18.90%	40.70%	25.00%	66.10%	32.10%	30.00%	75.20%	39.01%	266.83M	265.71M	4.28%	5.62	76.04	41.93 - 97.47	-2.12%	127.52%	73.15	0.49	2.02M	731,710	2.35%	12.68%	31.78%	38.24%	56.44%	8.44%	1.24	2.22	2.25% 2.19%	96.13	95.40	-0.76%
MAS	S&P 500	15.05B	705.00M	6.25B	0.54	4.99	0.56	0.99%	18000	Yes	Yes	2.30	21.40	17.46	1.45	2.41	104.83	11.35	28.35	1.50	2.00	19.80	19.77	1.08%	2.65	3.24	0.74	7.10%	14.71%	-0.80%	-0.90%	15.60%	86.00%	Oct 28 BMO	2.01%	0.20%	-34.48%	95.20%	0.36%	28.40%	-	33.80%	37.20%	18.50%	23.60%	9.90%	8.22%	261.00M	260.82M	2.10%	2.67	65.73	27.04 - 60.16	-7.04%	106.82%	53.90	0.70	2.05M	1,066,397	2.85%	2.82%	-0.47%	8.16%	17.91%	3.06%	1.34	1.43	2.92% 2.60%	56.61	55.92	-1.21%
PPG	S&P 500	36.45B	1.08B	13.75B	22.42	8.72	2.16	1.42%	47600	Yes	Yes	2.30	33.46	22.10	3.94	2.65	6.77	17.40	32.40	1.20	1.50	1.04	0.91	1.32%	4.54	6.87	1.58	-2.20%	8.49%	6.80%	0.50%	-3.70%	21.10%	Jan 21 AMC	2.49%	0.10%	-29.43%	79.80%	-0.15%	6.00%	21.40%	12.60%	43.80%	10.90%	7.80%	45.40%	24.50%	236.80M	235.19M	1.63%	3.26	153.00	69.77 - 153.81	-3.69%	112.32%	53.87	1.08	1.17M	947,675	0.61%	7.05%	12.75%	31.66%	16.07%	5.22%	1.12	3.03	2.25% 2.09%	151.75	148.13	-2.38%
HD	DJIA S&P500	285.86B	12.49B	125.63B	1.43	13.75	6.00	2.24%	415700	Yes	Yes	2.20	23.19	21.66	2.76	2.28	187.65	19.51	24.09	0.70	1.40	23.01	21.39	2.29%	11.57	12.39	2.55	6.10%	8.41%	16.80%	5.80%	23.20%	25.80%	Nov 17 BMO	1.56%	0.10%	-24.24%	71.60%	-0.01%	20.80%	-910.80%	43.60%	34.00%	14.00%	9.90%	50.40%	6.39%	1.08B	1.08B	0.71%	1.95	304.82	140.63 - 292.95	-5.99%	95.84%	57.53	1.08	3.89M	3,137,376	0.78%	1.04%	-6.53%	3.98%	19.48%	1.02%	1.03	4.78	2.29% 1.64%	268.34	275.41	2.63%
TRV	DJIA S&P500	35.90B	2.24B	31.67B	109.94	2.31	3.40	2.39%	30800	Yes	Yes	2.70	16.29	13.61	3.81	1.13	1.29	61.58	6.94	-	-	0.25	0.23	3.53%	8.73	10.46	3.15	6.90%	4.28%	-1.50%	3.00%	3.20%	115.10%	Jan 21 BMO	5.84%	0.20%	-6.13%	84.50%	-0.08%	2.00%	8.50%	9.10%	-	9.60%	7.10%	37.70%	22.44%	253.30M	252.57M	2.33%	4.06	133.06	76.99 - 143.13	0.28%	86.43%	63.63	0.98	1.45M	1,063,817	2.34%	6.22%	27.04%	18.11%	3.45%	1.39%	0.77	2.64	1.80% 1.76%	142.32	143.53	0.85%
PSA	S&P 500	37.78B	1.13B	2.87B	27.47	1.72	8.00	3.62%	5900	Yes	Yes	2.90	34.08	30.38	2.00	13.15	8.05	128.49	130.99	-	-	0.52	0.52	-0.32%	6.49	7.28	1.93	-14.60%	17.00%	6.80%	5.50%	0.20%	-26.80%	Nov 04 AMC	-0.75%	9.90%	0.21%	82.40%	-0.10%	9.70%	23.10%	21.20%	71.00%	49.00%	39.40%	123.10%	7.14%	174.50M	151.59M	1.71%	2.97	236.70	155.37 - 240.75	-6.80%	44.42%	50.45	0.66	873.49K	431,813	1.74%	-1.12%	-5.25%	17.44%	1.37%	-4.20%	0.10	4.97	1.93% 2.21%	221.23	224.38	1.42%
CCI	S&P 500	66.05B	672.00M	5.77B	22.25	0.57	5.32	3.44%	5100	Yes	Yes	2.30	96.91	65.97	5.55	11.44	6.96	272.93	-	0.60	0.60	2.03	2.02	1.97%	1.60	2.35	0.63	45.70%	17.47%	14.50%	10.20%	0.30%	-25.80%	Oct 21 AMC	-1.72%	0.10%	-0.89%	92.80%	0.02%	1.70%	6.70%	5.40%	66.60%	25.40%	11.60%	299.20%	-3.14%	431.30M	429.12M	0.86%	1.72	177.06	114.18 - 180.00	-12.64%	37.71%	52.63	0.92	2.16M	1,472,601	1.52%	-0.28%	-6.22%	-6.62%	7.43%	-2.78%	0.31	3.17	1.95% 1.86%	154.76	157.24	1.60%
DOV	S&P 500	18.29B	669.50M	6.68B	22.54	2.97	1.98	1.56%	24000	Yes	Yes	2.20	27.64	20.39	7.28	2.74	5.63	42.79	30.96	1.00	1.50	0.97	0.94	-0.11%	4.59	6.23	1.38	19.50%	3.80%	0.00%	-1.60%	-4.20%	-1.60%	Oct 20 BMO	1.66%	0.40%	-13.70%	85.80%	0.32%	7.50%	21.70%	12.90%	37.30%	13.70%	10.00%	42.40%	16.99%	144.03M	142.82M	1.41%	2.66	136.42	62.95 - 130.41	-3.94%	99.00%	50.59	0.53	757.90K	298,253	-1.94%	5.67%	11.72%	24.00%	7.93%	0.55%	1.31	2.49	1.64% 2.02%	126.94	125.27	-1.32%
VLO	S&P 500	25.41B	-12.00M	76.19B	47.23	9.60	3.92	6.50%	10222	Yes	Yes	1.90	-	270.27	-	0.33	1.28	6.28	34.16	1.20	1.90	0.79	0.76	3.44%	-0.03	0.22	-1.39	-19.40%	-5.08%	-3.50%	-3.70%	-42.00%	-177.60%	Jan 28 BMO	7.76%	0.20%	-4.44%	79.40%	0.09%	0.00%	-0.10%	10.00%	1.80%	0.80%	0.00%	-	9.02%	407.00M	406.39M	2.91%	2.34	65.50	31.00 - 94.85	-38.04%	89.56%	55.43	0.60	5.05M	2,267,771	1.01%	6.88%	44.50%	6.52%	-34.67%	6.54%	2.18	2.32	4.41% 3.68%	60.27	58.76	-2.50%
LUMN	S&P 500	12.40B	1.28B	21.16B	12.67	0.48	1.00	8.83%	39000	Yes	Yes	3.40	9.57	7.98	3.19	0.59	0.89	23.57	7.16	0.60	0.60	2.38	2.27	11.83%	1.18	1.42	0.29	-219.40%	3.00%	-41.30%	4.40%	-3.40%	20.00%	Nov 04 AMC	12.83%	0.10%	-0.90%	81.40%	0.31%	2.00%	9.50%	-6.70%	56.40%	16.70%	6.10%	84.20%	12.80%	1.08B	991.14M	10.34%	8.89	9.66	8.16 - 15.30	-25.48%	39.73%	74.55	0.81	11.53M	6,951,431	7.71%	8.64%	15.51%	14.00%	-13.32%	16.10%	1.13	0.32	2.69% 2.49%	11.32	11.40	0.72%
HOLX	S&P 500	19.04B	1.12B	3.78B	10.41	2.82	-	-	5814	Yes	Yes	1.80	18.19	16.18	1.05	5.04	7.35	27.16	22.71	1.50	1.80	1.13	1.01	0.95%	4.20	4.73	2.14	671.70%	17.40%	56.10%	6.90%	55.50%	509.40%	Jan 27 AMC	4.31%	1.00%	-3.26%	97.00%	0.10%	16.40%	48.00%	21.10%	59.70%	29.30%	29.50%	0.00%	23.23%	259.91M	255.37M	1.86%	2.47	87.31	26.49 - 81.80	-6.93%	187.39%	53.55	0.32	1.93M	458,366	-1.91%	3.11%	15.01%	27.55%	42.29%	5.01%	1.24	2.45	2.84% 3.19%	76.48	76.13	-0.46%
LB	S&P 500	12.35B	-207.00M	11.74B	-5.62	9.55	-	-	25500	Yes	Yes	2.70	-	14.67	-	1.05	-	4.71	7.72	0.90	1.50	-	-	8.94%	-0.78	3.07	2.54	-157.50%	14.00%	-18.90%	2.40%	14.10%	228.10%	Nov 18 AMC	15.65%	0.10%	-91.73%	79.30%	0.73%	-2.00%	12.10%	-0.10%	37.20%	2.90%	-1.80%	-	73.23%	279.00M	224.88M	3.94%	2.23	45.65	8.00 - 48.29	-6.98%	461.56%	63.28	0.73	3.97M	2,145,122	-2.58%	17.75%	40.65%	143.66%	127.29%	20.95%	1.74	1.88	4.18% 4.13%	44.98	44.92	-0.12%
COO	S&P 500	18.52B	238.40M	2.43B	77.89	2.35	0.06	0.02%	12000	Yes	Yes	2.30	78.04	26.75	7.80	7.62	4.82	159.80	106.02	0.70	1.30	0.47	0.36	4.25%	4.81	14.03	2.78	-47.90%	10.00%	3.00%	6.20%	-1.40%	-28.90%	Dec 03 AMC	8.20%	0.20%	-9.23%	99.60%	-0.03%	3.60%	6.40%	5.10%	63.10%	12.80%	9.80%	1.20%	17.83%	49.10M	44.63M	1.63%	2.99	358.25	236.68 - 382.54	-2.09%	58.25%	63.37	0.66	243.89K	120,040	2.76%	9.42%	6.01%	29.84%	9.10%	3.26%	0.82	8.87	2.81% 2.26%	375.15	374.55	-0.16%
XEL	S&P 500	33.09B	1.48B	11.38B	26.19	1.70	1.72	2.71%	11273	Yes	Yes	2.90	22.68	21.39	3.66	2.91	2.43	37.39	-	0.80	0.90	1.51	1.45	-1.29%	2.80	2.97	0.55	6.90%	6.20%	5.40%	-0.30%	5.60%	12.90%	Jan 28 BMO	-5.07%	0.20%	-9.22%	79.20%	0.02%	2.80%	11.00%	6.20%	93.50%	18.80%	13.00%	59.50%	-3.71%	526.00M	523.80M	0.68%	1.43	72.07	46.58 - 76.44	-15.72%	38.31%	44.65	1.05	2.51M	1,957,290	-2.46%	-2.28%	-12.15%	-2.20%	-1.41%	-4.66%	0.27	1.44	2.43% 2.11%	63.56	64.43	1.36%
NRG	S&P 500	9.42B	4.14B	9.26B	7.93	2.98	1.20	2.98%	4577	Yes	Yes	1.80	2.44	8.92	-	1.02	5.07	13.52	6.45	1.40	1.60	3.00	2.99	11.93%	16.51	4.51	0.63	944.20%	-12.80%	132.40%	-9.10%	-6.20%	-30.40%	Nov 05 BMO	20.02%	0.80%	-3.20%	98.00%	0.18%	32.60%	236.50%	59.10%	29.00%	14.10%	43.90%	3.90%	23.46%	244.00M	242.00M	2.79%	2.89	45.11	19.54 - 41.73	-1.70%	109.93%	73.10	0.68	2.34M	1,177,108	7.59%	23.32%	19.37%	18.91%	5.53%	7.16%	0.96	1.08	3.44% 2.69%	40.24	41.02	1.94%
ITW	S&P 500	65.11B	2.11B	12.57B	8.52	6.84	4.56	2.22%	45000	Yes	Yes	2.90	31.16	26.94	10.89	5.18	24.11	30.02	54.48	1.90	2.40	2.95	2.82	-1.01%	6.59	7.63	1.78	1.80%	2.86%	10.60%	-0.50%	-4.90%	-10.10%	Oct 23 BMO	-1.89%	0.20%	-25.41%	80.20%	0.02%	14.40%	81.40%	24.80%	41.10%	22.50%	16.80%	64.60%	8.49%	316.50M	315.82M	1.16%	3.43	210.29	115.94 - 224.69	-9.73%	74.93%	44.26	1.24	1.07M	985,987	-1.84%	2.87%	1.14%	13.11%	15.13%	0.75%	1.09	3.99	1.66% 1.86%	205.41	202.82	-1.26%
NOC	S&P 500	51.26B	2.45B	35.31B	62.75	29.53	5.80	1.91%	90000	Yes	Yes	2.00	20.72	12.51	2.72	1.45	4.83	10.26	17.47	1.40	1.40	1.53	1.36	0.68%	14.63	24.22	5.78	-26.60%	7.62%	6.30%	7.10%	7.20%	7.30%	Jan 28 BMO	-0.70%	0.10%	-2.92%	83.70%	-0.07%	5.70%	25.70%	16.20%	21.20%	11.50%	6.90%	37.70%	-5.63%	166.80M	165.92M	1.30%	2.15	378.83	263.31 - 385.01	-21.84%	14.28%	51.27	0.94	1.00M	706,491	3.57%	1.68%	-3.77%	-0.21%	-20.31%	-0.56%	0.76	6.55	2.19% 2.00%	303.02	300.92	-0.69%
